What is your name?,What is your phone number?,how long has your business been running?,1. Which product will you buy?,2. Which product will you buy?,3. Which product will you buy?,4. Which product will you buy?,5. Which product will you buy?,6. Which product will you buy?,7. Which product will you buy?,8. Which product will you buy?,9. Which product will you buy?,10. Which product will you buy? ,11. Which product will you buy?,12. Which product will you buy?,13. Which product will you buy?,14. Which product will you buy? ,15. Which product will you buy?,16. Which product will you buy?,17. Which product will you buy?,18. Which product will you buy? ,19. Which product will you buy?,20. Which product will you buy? ,What is your email?
Christopher White,9266207086,More than 1 year,A,"A, B","A, B",D. None (No choice),D. None (No choice),D. None (No choice),A,C,B,D. None (No choice),A,D. None (No choice),D. None (No choice),D. None (No choice),A,D. None (No choice),D. None (No choice),B,D. None (No choice),D. None (No choice),christopherwhite@example.com
Lisa Sweeney,651989475,More than 1 year,B,"B, C","A, B","B, C","A, B, C","A, C","A, B",C,"A, C",A,"A, B","A, C",A,"A, B",A,A,A,"A, C","B, C",B,lisasweeney@example.com
Debra Perry,7541012419,Less than 1 year,"A, C",B,A,A,B,B,B,B,"A, B, C","A, B","A, C","A, B","B, C",C,D. None (No choice),C,B,C,B,A,debraperry@example.com
Scott Campbell,9826471223,Less than 1 year,A,A,A,D. None (No choice),D. None (No choice),D. None (No choice),A,D. None (No choice),D. None (No choice),D. None (No choice),A,D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),A,B,scottcampbell@example.com
Jacqueline Barnes,4661817196,More than 1 year,"A, B","A, C",B,C,"B, C",C,"A, B","A, C",B,"B, C",A,D. None (No choice),"B, C","B, C",D. None (No choice),"B, C","A, B",B,A,"A, C",jacquelinebarnes@example.com
Karla Contreras,6527857487,Less than 1 year,A,A,"A, B",D. None (No choice),B,A,D. None (No choice),C,D. None (No choice),D. None (No choice),A,D. None (No choice),D. None (No choice),C,A,D. None (No choice),B,B,C,D. None (No choice),karlacontreras@example.com
Samantha Munoz,4272981980,Less than 1 year,D. None (No choice),D. None (No choice),"A, C",D. None (No choice),D. None (No choice),"A, B",D. None (No choice),D. None (No choice),C,A,D. None (No choice),C,D. None (No choice),C,D. None (No choice),"B, C","A, C",C,C,C,samanthamunoz@example.com
Christine Lee,7806801997,Less than 1 year,B,D. None (No choice),B,B,A,A,B,D. None (No choice),B,A,B,C,D. None (No choice),A,D. None (No choice),D. None (No choice),D. None (No choice),C,C,D. None (No choice),christinelee@example.com
Jaclyn Park,9862884665,More than 1 year,D. None (No choice),A,B,D. None (No choice),D. None (No choice),D. None (No choice),A,D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),C,C,D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),B,D. None (No choice),D. None (No choice),jaclynpark@example.com
Mary Goodwin,9299845998,Less than 1 year,A,C,B,B,C,B,C,B,B,C,B,D. None (No choice),C,D. None (No choice),D. None (No choice),C,D. None (No choice),C,D. None (No choice),C,marygoodwin@example.com
Robert Peck,4501988535,More than 1 year,C,D. None (No choice),A,A,C,A,D. None (No choice),C,C,A,A,D. None (No choice),C,C,A,D. None (No choice),B,C,C,D. None (No choice),robertpeck@example.com
Steven Brown,1652670779,More than 1 year,A,D. None (No choice),A,D. None (No choice),"A, B, D. None (No choice)",A,B,"A, C","A, B, C",D. None (No choice),D. None (No choice),C,C,A,A,D. None (No choice),D. None (No choice),"A, B, C",C,D. None (No choice),stevenbrown@example.com
Timothy Mccann,6627405367,Less than 1 year,A,"A, B","A, B",D. None (No choice),B,D. None (No choice),A,C,B,D. None (No choice),A,D. None (No choice),C,C,A,D. None (No choice),"A, B",B,A,B,timothymccann@example.com
Angela Morgan,8339502996,Less than 1 year,"A, B","B, C","A, C","A, C",C,C,"A, C",A,D. None (No choice),C,"A, C",A,A,B,D. None (No choice),"A, C",C,D. None (No choice),"A, B","A, B, C",angelamorgan@example.com
Debbie Smith,3670043106,Less than 1 year,A,D. None (No choice),B,B,C,C,A,C,D. None (No choice),D. None (No choice),D. None (No choice),B,A,C,A,D. None (No choice),B,B,D. None (No choice),A,debbiesmith@example.com
Kayla Sullivan,5559424310,Less than 1 year,A,A,A,C,B,A,A,C,"B, C",B,"A, B, C",C,"A, C","A, C",B,A,B,A,A,"B, C",kaylasullivan@example.com
Craig Morales,1518459943,More than 1 year,A,"A, B","A, B",D. None (No choice),D. None (No choice),D. None (No choice),A,D. None (No choice),D. None (No choice),D. None (No choice),A,D. None (No choice),D. None (No choice),C,D. None (No choice),D. None (No choice),D. None (No choice),B,A,D. None (No choice),craigmorales@example.com
Cynthia Eaton,240277137,Less than 1 year,A,"A, B",A,D. None (No choice),A,A,A,"A, B, C",B,B,D. None (No choice),D. None (No choice),C,C,A,B,A,"B, C","A, C",B,cynthiaeaton@example.com
Brian Wong,5308982141,Less than 1 year,A,B,C,C,B,A,B,C,C,A,B,C,C,B,A,C,B,C,A,B,brianwong@example.com
Ryan Spencer,9980136886,More than 1 year,"A, B","A, C","A, C","A, B","A, C","A, B","B, C","A, B, C","A, B, C",A,"A, B","A, C",C,"A, B","A, C",C,"A, C","A, B, C","A, C","A, C",ryanspencer@example.com
Jennifer Golden,8491393285,Less than 1 year,D. None (No choice),A,A,D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),C,A,D. None (No choice),B,D. None (No choice),C,D. None (No choice),jennifergolden@example.com
Angela Williams,9839662810,More than 1 year,"A, B","A, B","A, B",C,B,"A, C","A, B",A,B,C,A,D. None (No choice),A,A,A,A,B,B,"A, B, C","A, B",angelawilliams@example.com
Robert Juarez,7787381295,Less than 1 year,B,C,"A, B",B,D. None (No choice),A,B,C,"A, C",A,"A, B",C,C,"B, C",A,D. None (No choice),A,"B, C",C,B,robertjuarez@example.com
Alexis Smith,4250617791,More than 1 year,B,"A, B","B, C",C,A,"A, B",A,D. None (No choice),D. None (No choice),B,C,C,A,B,D. None (No choice),"A, B, C","A, C",C,B,"B, C",alexissmith@example.com
Earl Bennett,8848815470,More than 1 year,A,A,B,B,C,C,B,C,A,C,A,A,B,B,C,C,C,A,C,C,earlbennett@example.com
Alyssa Jackson,1582580301,Less than 1 year,C,"A, C","A, C",A,A,A,B,C,"A, C",A,B,C,C,"A, C",A,C,"A, B, C","A, C",C,C,alyssajackson@example.com
Catherine Acosta,4643094130,Less than 1 year,D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),A,A,D. None (No choice),D. None (No choice),C,D. None (No choice),B,C,D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),C,C,D. None (No choice),catherineacosta@example.com
Andrew Stevens,9307415842,More than 1 year,A,A,A,A,C,C,B,B,"A, B",B,A,"A, B",C,A,B,B,C,"A, B",A,C,andrewstevens@example.com
Luis Stone,1639456933,Less than 1 year,"A, B","A, C",A,A,"B, C",B,B,A,B,A,A,C,C,C,B,B,A,A,A,A,luisstone@example.com
Christopher Hughes,9455717492,More than 1 year,A,A,A,D. None (No choice),B,C,A,D. None (No choice),B,D. None (No choice),A,D. None (No choice),C,C,A,C,B,B,A,B,christopherhughes@example.com
Kristen Smith,9900792180,More than 1 year,A,C,A,A,A,B,B,C,B,A,B,C,A,A,B,B,B,C,C,C,kristensmith@example.com
Daniel Montes,5775015834,More than 1 year,A,A,A,D. None (No choice),D. None (No choice),D. None (No choice),A,C,B,D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),C,D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),B,danielmontes@example.com
Rachel Mejia,4374885161,More than 1 year,"A, B","A, B",A,D. None (No choice),B,A,A,A,B,D. None (No choice),D. None (No choice),C,A,"A, C",D. None (No choice),C,A,"A, C","A, C",B,rachelmejia@example.com
Tyler Smith,1019537589,Less than 1 year,A,"A, B",D. None (No choice),"B, C","B, C",C,D. None (No choice),A,"A, B","A, C",C,"A, B",A,"A, B",B,D. None (No choice),A,D. None (No choice),"A, B",D. None (No choice),tylersmith@example.com
John Fernandez,5853585761,More than 1 year,D. None (No choice),A,"A, C",C,"B, C",A,B,D. None (No choice),B,A,A,"A, B","A, B","A, B",B,A,B,B,A,B,johnfernandez@example.com
Amy Stout,7287811705,More than 1 year,"B, C",A,C,C,A,C,A,C,B,C,D. None (No choice),D. None (No choice),D. None (No choice),C,D. None (No choice),C,"A, C",D. None (No choice),A,"A, C",amystout@example.com
David Peterson,8380719001,More than 1 year,D. None (No choice),D. None (No choice),"A, B, C",B,"A, B, C","A, B, C",B,D. None (No choice),"A, B, C",A,"A, B, C","A, B, C",B,"A, B",D. None (No choice),C,C,"A, B, C",C,C,davidpeterson@example.com
Matthew Martinez,9911480458,More than 1 year,D. None (No choice),D. None (No choice),A,D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),C,D. None (No choice),D. None (No choice),A,D. None (No choice),D. None (No choice),C,D. None (No choice),D. None (No choice),B,B,D. None (No choice),D. None (No choice),matthewmartinez@example.com
Kristen Adams,293329968,More than 1 year,A,A,A,A,A,D. None (No choice),D. None (No choice),D. None (No choice),A,A,D. None (No choice),A,C,C,A,B,B,B,C,B,kristenadams@example.com
Ivan Pennington,4689390832,More than 1 year,D. None (No choice),"A, C",A,A,"A, B, C","A, B, C",B,"B, C","A, B, C",A,"A, B","A, B, C","B, C",A,"A, C",D. None (No choice),B,"A, B, C",C,D. None (No choice),ivanpennington@example.com
Elizabeth Stephenson,2308974450,Less than 1 year,A,B,A,D. None (No choice),D. None (No choice),A,A,D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),elizabethstephenson@example.com
Jerry Adams,9456654855,More than 1 year,D. None (No choice),D. None (No choice),A,D. None (No choice),D. None (No choice),A,A,C,B,D. None (No choice),A,D. None (No choice),D. None (No choice),C,A,D. None (No choice),D. None (No choice),B,C,D. None (No choice),jerryadams@example.com
Steven Jordan,1044635167,More than 1 year,A,"A, B","A, B",D. None (No choice),D. None (No choice),D. None (No choice),A,C,B,D. None (No choice),A,D. None (No choice),D. None (No choice),D. None (No choice),A,B,B,B,D. None (No choice),D. None (No choice),stevenjordan@example.com
Heather Morales,6548280795,More than 1 year,A,A,A,A,A,A,A,C,B,B,A,B,C,C,A,B,B,B,C,B,heathermorales@example.com
Jeffrey Brown,4075126309,Less than 1 year,D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),C,D. None (No choice),jeffreybrown@example.com
Melissa Hendrix,8056477952,More than 1 year,"A, B","A, B","A, B","B, C","A, C",C,"B, C",A,"A, B","A, C","A, C",A,A,B,D. None (No choice),C,C,B,A,"A, B, C",melissahendrix@example.com
Sue Ellis,3392473204,More than 1 year,A,A,A,D. None (No choice),B,A,B,D. None (No choice),B,A,A,C,C,C,D. None (No choice),C,B,A,D. None (No choice),C,sueellis@example.com
Miranda Turner,1303038030,More than 1 year,A,B,A,C,A,A,A,D. None (No choice),C,D. None (No choice),B,C,A,D. None (No choice),D. None (No choice),A,C,C,C,D. None (No choice),mirandaturner@example.com
Nicole Nichols,4579828475,More than 1 year,A,A,A,C,B,A,A,C,B,B,A,B,C,C,A,B,B,B,C,B,nicolenichols@example.com
Melinda Hammond,5499133698,More than 1 year,"B, C",B,A,C,B,D. None (No choice),D. None (No choice),D. None (No choice),"A, B","A, C",C,C,B,B,D. None (No choice),B,A,D. None (No choice),C,B,melindahammond@example.com
Dawn Brown,5492696563,More than 1 year,A,A,C,B,B,C,C,A,B,B,A,B,C,"A, B",B,B,"A, C",B,A,"A, C",dawnbrown@example.com
Richard Ponce,4476274968,More than 1 year,C,C,A,A,A,B,B,B,C,C,B,C,C,A,C,C,C,D. None (No choice),C,B,richardponce@example.com
Amy Soto,9008002832,Less than 1 year,A,A,A,A,A,A,A,A,A,A,A,C,B,A,B,A,A,A,A,A,amysoto@example.com
Erica Perry,6823068663,More than 1 year,D. None (No choice),D. None (No choice),A,B,B,D. None (No choice),D. None (No choice),C,B,D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),B,D. None (No choice),D. None (No choice),B,B,D. None (No choice),D. None (No choice),ericaperry@example.com
Anna Sanchez,1636510395,Less than 1 year,A,"A, B, C",A,"A, C","A, B, C","A, B, C","A, B, C","A, B, C","A, B, C","A, B, C","A, B, C","A, B, C","A, B, C","A, B, C","A, C",A,"A, B, C","A, C",C,B,annasanchez@example.com
Michael Gonzalez,8503357561,More than 1 year,A,A,A,C,B,C,A,A,B,B,A,B,A,A,B,B,C,B,A,C,michaelgonzalez@example.com
Grace James,9315103666,More than 1 year,D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),A,A,D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),gracejames@example.com
Angela Warner,5818599340,More than 1 year,A,A,"A, C","A, C",C,C,"A, B, C","A, C",B,"A, C","A, C",A,A,A,A,"A, C",C,B,A,"A, C",angelawarner@example.com
Andrew Wolf,6240489883,Less than 1 year,B,"A, C",A,A,"A, B, C","A, C","B, C","B, C","A, B, C","A, C","A, B, C","A, B, C","B, C","A, B","A, C","A, C","B, C","A, B, C","A, C","B, C",andrewwolf@example.com
Sandra Zamora,6163858123,Less than 1 year,B,C,A,C,A,C,B,A,"A, B, C","A, C","A, C",C,A,"A, B",A,B,C,C,"A, B",A,sandrazamora@example.com
Robert Morgan,1663737509,More than 1 year,A,A,A,D. None (No choice),B,A,A,C,B,D. None (No choice),A,D. None (No choice),D. None (No choice),C,A,D. None (No choice),B,B,C,B,robertmorgan@example.com
Jeremiah Gonzalez,4722794610,More than 1 year,D. None (No choice),"A, C",A,C,"A, B, C",B,B,A,A,A,"A, B","A, B",B,A,A,C,"B, C",A,B,B,jeremiahgonzalez@example.com
James Patterson,704073263,Less than 1 year,"A, B","A, B, C","A, B, C","A, B, C","A, B, C",C,"A, B, C","A, B, C","A, B","A, B, C","A, B, C","A, B","A, B, C","A, B","A, B, C","A, B, C",C,"A, B","A, B","A, B, C",jamespatterson@example.com
Susan Gonzales,7236182419,Less than 1 year,A,B,A,C,D. None (No choice),A,A,C,B,B,A,D. None (No choice),C,C,A,B,A,"B, C","A, C",C,susangonzales@example.com
Lisa Joyce,2202890710,More than 1 year,A,B,C,C,C,C,A,A,B,C,C,A,A,C,A,A,A,B,A,B,lisajoyce@example.com
Brandon Ayala,9316557086,More than 1 year,C,D. None (No choice),D. None (No choice),D. None (No choice),"A, B, C","A, B",D. None (No choice),D. None (No choice),"A, C",A,"A, B","A, C",D. None (No choice),C,D. None (No choice),D. None (No choice),"A, B",C,C,D. None (No choice),brandonayala@example.com
Gregory Kidd,8890934290,More than 1 year,D. None (No choice),A,"A, B",D. None (No choice),D. None (No choice),A,D. None (No choice),D. None (No choice),D. None (No choice),A,A,D. None (No choice),D. None (No choice),"A, B, C",D. None (No choice),C,"A, C",D. None (No choice),C,C,gregorykidd@example.com
Samantha Campbell,1612424905,Less than 1 year,A,A,A,C,A,C,B,A,A,A,C,C,A,A,C,A,A,A,B,B,samanthacampbell@example.com
Miranda Jennings,8903520675,More than 1 year,A,A,A,A,B,A,A,C,A,A,A,B,C,C,A,B,B,B,C,B,mirandajennings@example.com
Nathan Powers,2391779254,More than 1 year,"A, C","A, B","A, C","A, C","B, C","A, C","A, B","A, C",A,A,C,"A, B","A, C","A, C",A,A,B,B,B,"B, C",nathanpowers@example.com
Michelle Jimenez,3067144043,More than 1 year,"A, B",A,"A, B, C","A, B","B, C",C,B,"B, C",A,"A, C",A,"A, B","B, C","A, B","A, C",C,"B, C",A,B,C,michellejimenez@example.com
Kristen Johnson,7954955888,More than 1 year,"A, B, C",A,"A, B, C","B, C","B, C",C,"A, B, C","A, C","A, B","A, C","A, B","A, B","A, B","A, B, C","A, C","A, C","A, B, C","A, B","A, B","A, B, C",kristenjohnson@example.com
Taylor Smith,5288550722,More than 1 year,"A, B","A, B","A, B, C","B, C","A, B, C",A,"A, B",A,"A, C",A,A,B,A,A,A,"A, C",C,A,B,B,taylorsmith@example.com
Julia Mills,3862325683,More than 1 year,A,"B, C","A, C","A, C","B, C",C,"A, B, C",A,"A, B","A, B, C","A, C","A, B","A, B",B,B,"A, B, C","A, B, C","A, B","A, B","A, B, C",juliamills@example.com
Curtis Landry,4133934632,More than 1 year,D. None (No choice),A,A,D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),A,D. None (No choice),D. None (No choice),D. None (No choice),A,D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),curtislandry@example.com
Teresa Stewart,7002567963,Less than 1 year,B,B,B,C,A,C,A,B,C,B,B,D. None (No choice),A,B,B,A,A,C,B,B,teresastewart@example.com
William Cunningham,6899293376,More than 1 year,A,B,A,D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),B,D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),B,D. None (No choice),B,williamcunningham@example.com
Tiffany Logan,613943254,More than 1 year,D. None (No choice),D. None (No choice),A,D. None (No choice),"B, C",C,"A, C",A,A,"A, C","A, C","A, B","A, B",A,D. None (No choice),A,B,A,A,A,tiffanylogan@example.com
Paul Carter,5502747368,Less than 1 year,D. None (No choice),B,D. None (No choice),C,D. None (No choice),D. None (No choice),D. None (No choice),A,B,D. None (No choice),D. None (No choice),D. None (No choice),A,C,D. None (No choice),D. None (No choice),D. None (No choice),B,A,D. None (No choice),paulcarter@example.com
Rebecca Reid,3320181969,More than 1 year,A,A,A,B,C,C,A,C,A,A,A,"A, B","B, C","A, B",A,C,"A, B, C",A,A,C,rebeccareid@example.com
Kenneth Walton,2818203238,More than 1 year,A,D. None (No choice),A,C,D. None (No choice),A,A,D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),B,D. None (No choice),D. None (No choice),C,D. None (No choice),kennethwalton@example.com
Sandra Clark,2513820282,Less than 1 year,A,"A, B",A,D. None (No choice),D. None (No choice),D. None (No choice),A,D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),A,D. None (No choice),B,D. None (No choice),D. None (No choice),D. None (No choice),sandraclark@example.com
Jason Rodriguez,480238105,More than 1 year,C,"A, B","A, C","A, C","A, B",A,B,C,"A, B, C","A, C","A, B, C","A, B, C","A, B, C","A, C",A,"A, C","A, B, C","A, B, C","B, C",D. None (No choice),jasonrodriguez@example.com
Thomas Vega,7315655915,More than 1 year,"A, B",C,C,A,C,B,B,A,"A, C",A,"A, B",A,B,A,C,C,"B, C",C,C,C,thomasvega@example.com
Antonio Juarez,5217279970,Less than 1 year,C,A,A,C,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,antoniojuarez@example.com
Ryan Johnston,1478621725,More than 1 year,D. None (No choice),B,D. None (No choice),B,A,C,D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),A,A,A,ryanjohnston@example.com
Gregory Robinson,2244206353,Less than 1 year,A,"A, B","A, C",C,A,C,"A, C",A,A,"A, C",C,C,A,A,D. None (No choice),"A, C",C,"A, C","A, B","A, B, C",gregoryrobinson@example.com
Kevin Holland,1588763892,More than 1 year,B,"B, C",A,"A, C","A, B, C","A, B, C","B, C","A, B, C","A, B, C",A,"A, B, C","A, B, C","B, C","A, B, C","A, C",C,"A, B, C","A, B, C",C,A,kevinholland@example.com
Brad Casey,4833387899,Less than 1 year,A,A,A,"A, C",C,C,"A, B","A, B, C",B,"A, B",A,A,"A, C","A, C",A,"A, B, C",C,B,A,"A, C",bradcasey@example.com
Ashley Martin,6178530688,More than 1 year,D. None (No choice),B,A,D. None (No choice),A,"A, B",B,A,"B, C",A,B,A,A,A,A,A,D. None (No choice),"A, B",A,A,ashleymartin@example.com
Mikayla Duncan,9308635479,More than 1 year,A,A,A,C,B,A,A,C,B,B,A,B,C,C,A,B,B,B,A,B,mikayladuncan@example.com
Kelly Crawford,4817426925,More than 1 year,A,B,A,C,C,A,"A, B",C,C,A,C,A,B,C,C,B,A,B,C,B,kellycrawford@example.com
Michael Case,3021360774,More than 1 year,D. None (No choice),A,"A, B",D. None (No choice),D. None (No choice),A,A,C,B,D. None (No choice),A,D. None (No choice),C,C,A,B,A,"B, C",C,D. None (No choice),michaelcase@example.com
Elizabeth Stout,7386676732,Less than 1 year,A,B,B,A,C,B,A,B,C,A,A,C,A,A,A,C,A,C,A,C,elizabethstout@example.com
Deanna Thomas,3845744408,More than 1 year,D. None (No choice),C,A,A,"A, B, C",A,B,C,"A, C",A,B,C,B,A,A,D. None (No choice),B,C,C,D. None (No choice),deannathomas@example.com
Sara Schmitt,9285993112,More than 1 year,D. None (No choice),B,B,D. None (No choice),D. None (No choice),A,D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),B,B,B,C,D. None (No choice),saraschmitt@example.com
Beth Johnston,2269983618,More than 1 year,C,C,A,"A, C",C,D. None (No choice),A,"B, C",D. None (No choice),D. None (No choice),"A, C",A,"A, C",C,"A, C",A,A,D. None (No choice),D. None (No choice),D. None (No choice),bethjohnston@example.com
Christopher Alvarado,1514724179,More than 1 year,"A, B","A, B","A, B, C","B, C","B, C",C,"A, C",A,"A, B","A, C","A, C","A, B","A, B","B, C",A,"A, C","B, C","A, B","A, B","A, B, C",christopheralvarado@example.com
Cindy Flores,1469509435,More than 1 year,A,A,A,C,B,A,A,C,B,B,A,B,C,C,A,C,B,B,C,B,cindyflores@example.com
Amanda Bennett,3166762143,More than 1 year,"A, B","A, B",A,C,D. None (No choice),A,A,D. None (No choice),D. None (No choice),D. None (No choice),C,D. None (No choice),A,"A, C",A,"B, C",D. None (No choice),C,C,B,amandabennett@example.com
Amanda Coffey,6524857462,Less than 1 year,D. None (No choice),D. None (No choice),A,D. None (No choice),C,A,D. None (No choice),D. None (No choice),A,A,A,"A, C",B,A,D. None (No choice),D. None (No choice),D. None (No choice),A,C,D. None (No choice),amandacoffey@example.com
Kimberly Hill,6099407747,Less than 1 year,B,"A, B",C,C,C,C,C,A,C,C,"A, C","A, B",A,B,B,"A, C",C,A,"A, B","A, B, C",kimberlyhill@example.com
Rebecca Sherman,65730719,More than 1 year,B,"A, C","B, C","A, B","B, C",A,"A, B","B, C",B,A,A,"A, B","B, C",B,A,C,"A, C","A, B",D. None (No choice),C,rebeccasherman@example.com
Jason Hamilton,3859631934,Less than 1 year,"C, D. None (No choice)",D. None (No choice),A,D. None (No choice),D. None (No choice),"A, D. None (No choice)",A,D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),D. None (No choice),C,A,D. None (No choice),A,D. None (No choice),C,D. None (No choice),jasonhamilton@example.com
Steven Burns,6472520309,Less than 1 year,C,"A, C","A, C",C,C,C,"A, C",A,D. None (No choice),"B, C","A, C","A, C",A,A,B,A,C,D. None (No choice),"A, B","A, B",stevenburns@example.com
Jennifer Jimenez,2120927742,More than 1 year,C,A,A,A,A,B,B,C,B,A,B,C,B,A,C,C,A,A,C,C,jenniferjimenez@example.com
